Timestamp,Age,Ville,Sexe,  specialite_BAC, Nationale ,Regional,Generale,Francais, Anglais,Loisirs,preferee ,detestee ,Skills,specialite,performance,satisfaction,  Quelle est votre filière d cette specialite ?  
,19,sale,Homme,SP,11.00,15.00,13.00,Avance,Fluent,Technologie ,Physique,None,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Esprit critique",Physique,8,4,
,19,sale,Homme,SP,11.61,17.45,13.76,Avance,Avance,Sport,Biologie,Histoire,"Adaptabilite, Creativite, Resolution de problèmes, Autonomie",Medecine,7,4,
,19,sale,Homme,SP,11.51,15.55,13.00,Intermediaire,Avance,"Voyage, Technologie , chess",Informatique,Biologie,"Adaptabilite, Resolution de problèmes, Leadership",Informatique,8,5,
,19,sale,Homme,SP,10.00,17.00,13.00,Intermediaire,Debutant,"Sport, Musique, Voyage, Benevolat",Marketing ,Physique,"Communication, Travail en equipe, Gestion du temps, Adaptabilite",Economie,5,5,
,19,sale,Homme,SE,8.40,13.83,10.90,Intermediaire,Avance,"Sport, Musique",Langues,Mathematiques,"Communication, Adaptabilite, Creativite",Langues etrangères,6,2,
,21,sale,Femme,SVT,15.14,17.20,16.40,Avance,Avance,"Sport, Voyage, Benevolat, Photographie",Biologie,None,"Travail en equipe, Adaptabilite, Empathie",Biologie,8,4,
,31,sale,Homme,Lettres,11.00,10.00,11.00,Intermediaire,Avance,"Musique, Voyage",Langues,None,"Travail en equipe, Leadership",Droit,4,3,
,21,sale,Homme,SP,16.40,17.20,16.80,Avance,Fluent,"Lecture, Musique, Cinema, Jeux video",Mathematiques,Biologie,"Communication, Travail en equipe, Adaptabilite, Resolution de problèmes, Esprit critique",Ingenierie,7,4,
,23,sale,Homme,SVT,14.21,9.00,13.25,Intermediaire,Intermediaire,"Musique, Voyage, Benevolat",Mathematiques,None,"Communication, Travail en equipe, Creativite",Economie,7,4,
,23,sale,Femme,SP,16.73,16.00,16.67,Avance,Avance,"Lecture, Sport, Benevolat, Technologie ",Mathematiques,Chimie,"Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes, Esprit critique",Ingenierie,7,3,Informatique 
,19,sale,Homme,SP,9.00,14.90,11.82,Avance,Debutant,"Sport, Musique, Voyage, Jeux video",Mathematiques,Langues,"Communication, Travail en equipe, Resolution de problèmes",Infirmerie,8,3,infirmière polyvalent 
,19,sale,Femme,SP,10.00,15.00,12.00,Avance,Fluent,"Lecture, Musique, Voyage, Cinema, Photographie",Physique,Mathematiques,"Communication, Adaptabilite, Resolution de problèmes, Empathie",Infirmerie,9,5,Polyvalente 
,18,sale,Homme,SP,9.00,16.00,11.00,Intermediaire,Avance,"Lecture, Sport, Musique, Voyage, Cinema, Jeux video, ",Langues,Biologie,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Infirmerie,10,1,Polyvalent 
,19,sale ,Homme,SVT,9.06,13.85,11.44,Intermediaire,Avance,"Sport, Jeux video, Technologie , Photographie",Histoire,Biologie,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique",Biologie,4,2,
,19,sale ,Homme,SP,9.00,16.00,9.00,Intermediaire,Avance,"Lecture, Technologie , Ecriture, Photographie",Philosophie ,Mathematiques,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes, Leadership",Informatique,5,4,
,21,sale ,Femme,SP,16.70,17.85,17.00,Fluent,Avance,"Lecture, Musique, Voyage, Cinema, Benevolat",Mathematiques,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Leadership, Autonomie",Ingenierie,10,5,
,20,sale ,Homme,SE,14.00,13.00,15.00,Avance,Intermediaire,Sport,Mathematiques,Litterature,Travail en equipe,Economie,8,4,
,19,sale ,Femme,SP,10.00,15.67,11.66,Avance,Debutant,"Musique, Voyage, Cinema",Physique,Informatique,"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problèmes",Infirmerie,8,4,Sante mentale 
,20,sale ,Femme,SP,10.45,16.40,11.30,Fluent,Avance,"Lecture, Musique, Voyage, Cinema, Arts plastiques , Benevolat",Biologie,Mathematiques,"Communication, Creativite, Empathie, Esprit critique, Autonomie",Infirmerie,9,5,Infirmière polyvalente 
,18,sale ,Homme,SP,8.00,15.05,10.73,Intermediaire,Avance,"Sport, Voyage, Cinema, Jeux video",Informatique,Mathematiques,Empathie,Reseau,6,4,Infrastructure digitale system et reseaux 
,22,sefrou,Femme,SE,12.60,13.25,13.51,Avance,Debutant,"Musique, Voyage",Langues,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Resolution de problèmes, Leadership",Economie,8,4,
,18,sefrou,Femme,SGC,14.67,16.48,15.52,Avance,Intermediaire,"Musique, Voyage, Photographie",Comptabilite,Mathematiques,Travail en equipe,Economie,8,4,
,21,sidi slimane ,Homme,SP,16.97,17.45,17.24,Avance,Avance,Sport,Physique,Histoire,"Communication, Adaptabilite, Creativite, Resolution de problèmes",Ingenierie,8,4,
,21,tanger,Femme,SP,14.28,17.75,19.39,Avance,Intermediaire,"Lecture, Voyage, Technologie , Ecriture, Photographie",Mathematiques,Chimie,"Travail en equipe, Adaptabilite, Creativite, Leadership, Autonomie",Ingenierie,8,4,
,19,tanger,Femme,SE,11.77,13.65,12.00,Avance,Avance,"Lecture, Musique, Technologie , Photographie",Langues,Mathematiques,"Communication, Creativite, Leadership, Autonomie",Economie,4,4,
,21,tantan,Homme,SM,15.00,14.50,15.30,Debutant,Debutant,Sport,Mathematiques,Litterature,Resolution de problèmes,Mathematiques appliquees,6,3,
,21,taourirt,Homme,SP,14.00,15.00,15.00,Avance,Intermediaire,"Sport, Jeux video",Informatique,Langues,"Adaptabilite, Creativite, Resolution de problèmes",Informatique,7,4,
,22,taroudant,Homme,SP,16.42,16.92,16.67,Intermediaire,Intermediaire,"Sport, Voyage, Benevolat",Informatique,Litterature,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Informatique,8,5,
,22,taroudant,Femme,SM,9.50,15.00,11.50,Avance,Intermediaire,"Sport, Voyage, Cinema, Benevolat, Technologie , Photographie",Informatique,Histoire,"Communication, Travail en equipe, Adaptabilite, Resolution de problèmes, Empathie, Autonomie",Ingenierie,6,4,Cybersecurite
,20,taza,Homme,SM,14.37,14.30,15.37,Intermediaire,Avance,"Lecture, Musique, Jeux video, Technologie ",Informatique,Litterature,"Travail en equipe, Adaptabilite, Resolution de problèmes, Esprit critique, Autonomie",Informatique,8,5,
,20,taza,Femme,SP,15.78,17.40,16.62,Avance,Avance,"Sport, Technologie ",Informatique,None,"Communication, Creativite, Resolution de problèmes",Informatique,9,5,
,24,temara ,Homme,SP,14.00,10.00,12.00,Intermediaire,Intermediaire,Technologie,Informatique,Kolchi apart info,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership",Informatique,7,5,
,20,tetouan,Homme,SP,10.00,11.00,10.27,Intermediaire,Intermediaire,"Sport, Voyage, Technologie ",Informatique,Litterature,"Communication, Travail en equipe, Resolution de problèmes",Economie,7,2,
,21,tetouan,Homme,SP,16.00,15.00,15.50,Intermediaire,Avance,Rien,Informatique,None,"Communication, Empathie",Informatique,7,5,
,20,tetouan,Homme,SM,12.00,17.00,14.00,Avance,Avance,"Sport, Voyage, Jeux video, Technologie ",Informatique,Biologie,"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problèmes, Leadership, Esprit critique",Informatique,9,5,Big Data & AI
,22,tetouan ,Homme,STE,16.35,16.00,16.35,Fluent,Intermediaire,"Voyage, Arts plastiques , Technologie , Photographie",Sciences d'ingenieur,Chimie,"Travail en equipe, Creativite, Resolution de problèmes, Leadership",Ingenierie,9,5,
,20,tetouan ,Femme,SVT,7.98,15.70,11.92,Avance,Intermediaire,Voyage,Hydraulique ,Statistiques ,Creativite,Ingenierie,6,4,
