Age ,Ville, Sexe , spécialité_BAC , Nationale , examen_Régional , Note_Générale , Français ,  Anglais , Loisirs , préférée ,  détestée , Skills ,  Spécialité , performance, satisfaction
18,Fes,,Femme,Sciences Physiques,"13,56","16,2","15,33",Avancé,Intermédiaire,"Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.)",Informatique,None,"Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes",Informatique,7,5
23,Rabat,,Homme,Sciences Mathématiques,11,14,12,Avancé,Avancé,"Musique, Voyage, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Biologie,"Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Autonomie",Informatique,9,5
21,Salé,,Femme,Sciences de la Vie et de la Terre,"15,14","17,2","16,4",Avancé,Avancé,"Sport, Voyage, Bénévolat, Photographie",Biologie,None,"Travail en équipe, Adaptabilité, Empathie",Biologie,8,4
21,Casablanca,,Femme,Sciences Mathématiques,"17,18","19,1","18,17",Avancé,Fluent,"Lecture, Ecriture",Informatique,None,"Travail en équipe, Adaptabilité, Empathie, Esprit critique",Informatique,7,5
20,Mohammedia,,Homme,Sciences Mathématiques,"12,35","18,5","14,89",Intermédiaire,Intermédiaire,"Musique, Cinéma, Technologie (programmation, bricolage électronique, etc.)",Informatique,Chimie,"Travail en équipe, Adaptabilité, Esprit critique",Ingénierie,6,2
22,Oujda,,Homme,Sciences Physiques,12,"9,96","12,93",Débutant,Intermédiaire,"Sport, Voyage, Cinéma, Jeux vidéo, Bénévolat, Photographie",Informatique,Mathématiques,"Travail en équipe, Adaptabilité, Esprit critique",Physique,5,1
20,Taza,,Homme,Sciences Mathématiques,"14,37","14,3","15,37",Intermédiaire,Avancé,"Lecture, Musique, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Informatique,Littérature,"Travail en équipe, Adaptabilité, Résolution de problèmes, Esprit critique, Autonomie",Informatique,8,5
24,Fes,,Femme,Sciences Physiques,"15,84","11,08","14,65",Intermédiaire,Intermédiaire,"Lecture, Sport, Musique, Voyage, Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Histoire,"Travail en équipe, Adaptabilité, Résolution de problèmes, Leadership, Empathie",Ingénierie,8,4
22,Tétouan ,,Homme,Sciences et Technologies Électriques,"16,35",16,"16,35",Fluent,Intermédiaire,"Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Photographie",Sciences d'ingénieur,Chimie,"Travail en équipe, Créativité, Résolution de problèmes, Leadership",Ingénierie,9,5
24,Rabat,,Femme,Sciences Mathématiques,14,16,15,Avancé,Débutant,"Lecture, Ecriture",Littérature,Histoire,"Travail en équipe, Gestion du temps",Ingénierie,8,4
18,Fes,,Femme,Sciences Physiques,"14,2","16,15","15,76",Avancé,Intermédiaire,"Lecture, Musique, Voyage",Mathématiques,Biologie,"Travail en équipe, Gestion du temps, Adaptabilité",Economie,8,4
21,Fes,,Homme,Sciences Économiques,14,14,15,Avancé,Avancé,"Sport, Jeux vidéo, Bénévolat",Histoire,Mathématiques,"Travail en équipe, Gestion du temps, Adaptabilité, Résolution de problèmes, Leadership",Economie,7,4
26,Fes,,Homme,Sciences Physiques,"14,52","13,9","14,77",Fluent,Avancé,"Sport, Voyage, Jeux vidéo, Bénévolat",Mathématiques,None,"Travail en équipe, Gestion du temps, Adaptabilité, Résolution de problèmes, Leadership, Autonomie",Ingénierie,9,4
20,Mohammedia,,Homme,Sciences Physiques,13,"14,8",14,Avancé,Débutant,Sport,Physique,Littérature,"Travail en équipe, Gestion du temps, Autonomie",Ingénierie,6,4
22,Fes,,Femme,Sciences Physiques,"16,77","15,65","16,67",Avancé,Avancé,"Arts plastiques (peinture, dessin, sculpture, etc.), Bénévolat, Photographie",Mathématiques,Histoire,"Travail en équipe, Gestion du temps, Créativité, Autonomie",Ingénierie,9,5
22,Agadir,,Homme,Sciences Physiques,"17,21","17,31","17,15",Intermédiaire,Avancé,"Sport, Musique, Voyage, Cinéma, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Physique,Littérature,"Travail en équipe, Gestion du temps, Créativité, Esprit critique",Informatique,8,4
21,Larache,,Femme,Sciences Physiques,"13,89","16,25","15,75",Avancé,Intermédiaire,"Musique, Voyage, Cinéma",Langues,Histoire,"Travail en équipe, Gestion du temps, Créativité, Résolution de problèmes, Leadership",Informatique,1,2
18,Fes,,Femme,Sciences Physiques,"14,58","17,1","16,06",Avancé,Intermédiaire,"Lecture, Musique, Photographie",Biologie,Mathématiques,"Travail en équipe, Gestion du temps, Esprit critique",Economie,7,4
19,Meknes,,Femme,Sciences Économiques,"16,18","15,63","16,45",Intermédiaire,Intermédiaire,Auto Sport,comptabilité,Langues,"Travail en équipe, Gestion du temps, Résolution de problèmes, Esprit critique, Autonomie",Economie,7,5
18,Casablanca,,Femme,Sciences Économiques,"15,46","16,6","16,34",Avancé,Fluent,"Lecture, Musique, Cinéma, Jeux vidéo, Ecriture, Photographie",Langues,Mathématiques,"Travail en équipe, Gestion du temps, Résolution de problèmes, Esprit critique, Autonomie",Economie,8,5
20,Casablanca,,Homme,Sciences Mathématiques,13,11,13,Intermédiaire,Avancé,"Lecture, Technologie (programmation, bricolage électronique, etc.)",Informatique,None,"Travail en équipe, Leadership",Informatique,7,5
31,Salé,,Homme,Lettres,11,10,11,Intermédiaire,Avancé,"Musique, Voyage",Langues,None,"Travail en équipe, Leadership",Droit,4,3
18,Rabat,,Homme,Sciences Économiques,"12,52","15,95","14,08",Intermédiaire,Avancé,"Sport, Musique, Voyage",Histoire,Mathématiques,"Travail en équipe, Leadership, Empathie",Economie,8,5
19,Rich,,Homme,Sciences Physiques,12,15,14,Intermédiaire,Intermédiaire,"Sport, Musique, Voyage, Jeux vidéo",Informatique,Littérature,"Travail en équipe, Résolution de problèmes",Informatique,7,5
22,Fes,,Homme,Sciences Mathématiques,"10,92","13,9","12,65",Intermédiaire,Intermédiaire,"Sport, Voyage, Technologie (programmation, bricolage électronique, etc.), Photographie",Informatique,Biologie,"Travail en équipe, Résolution de problèmes, Empathie",Informatique,7,3
23,Béni Mellal ,,Homme,Lettres,"16,73",16,16,Intermédiaire,Intermédiaire,"Lecture, Sport, Musique, Voyage, Cinéma",Littérature,Littérature,"Travail en équipe, Résolution de problèmes, Esprit critique",Sciences humaines et sociales,7,3
20,Fes,,Homme,Sciences Physiques,"14,5","15,5",15,Intermédiaire,Intermédiaire,"Lecture, Sport",Informatique,None,"Travail en équipe, Résolution de problèmes, Esprit critique",Informatique,8,5
